0," = '' OR 1=1;--"
0,"2 and 1=2"
0,"1' waitfor delay '00:00:10'--"
0,"BENCHMARK(5000000,ENCODE('MSG','by 5 seconds'))"
0,"1 UNION SELECT IF(SUBSTRING(user_password,1,1) = CHAR(50),BENCHMARK(5000000,ENCODE('MSG','by 5 seconds')),null) FROM users WHERE user_id = 1;"
0,"(CHAR(50) == '2')"
0,"string-length(//user[position()=1]/child::node()[position()=2])=6"
0,"<b onmouseover=alert('Wufff!')>click me!</b>"
0,"<IMG SRC=j&#X41vascript:alert('test2')>"
0,"system('cd /var/yp && make &> /dev/null');"
0,"<script>alert('Hi, my name is slim shady')</script>"
0,"&& cat /etc/shadow"
0,"<!--#exec cmd=ls -->"
0,"<!--#exec cmd=cd /root/dir/>"
1,"Hi, my name is slim shady"
1,"The commands used to inject SSI vary according to the server operational system in use. The following commands represent the syntax that should be used to execute OS commands."
1,"Blind SQL (Structured Query Language) injection is a type of SQL Injection attack that asks the database true or false questions and determines the answer based on the applications response. This attack is often used when the web application is configured to show generic error messages, but has not mitigated the code that is vulnerable to SQL injection."
1,"The two hometown winners beamed throughout their victory speeches, but it was Mr. Trump who particularly seemed like a different candidate. As he spoke in the lobby of Trump Tower, there were no freewheeling presentations of steaks and bottled water, as in the past. There was no reference to “Lyin’ Ted” or “Crooked Hillary”; he called his opponent “Senator Cruz” instead, and made no mention of Mrs. Clinton. He also took no questions from the news media."
1,"Trump and Clinton Win New York Easily"
1,"In horse racing, Nyquist, ridden by Mario Gutierrez (pictured), wins the Kentucky Derby."
1,"Enda Kenny of Fine Gael is re-elected Taoiseach of Ireland and forms a minority coalition government."
1,"A wildfire in Canada displaces 88,000 people and destroys more than 1,600 buildings in Fort McMurray, Alberta"
1,"Louis XVI of France (1754–1793) was King of France (later King of the French) from 1774 until his deposition in 1792"
1,"More than 1,000,000 articles: Deutsch Español Français Italiano Nederlands 日本語 Polski Русский Svenska Tiếng Việt"
1,"It seems we broke @Team17Ltd website when asking if Worms WMD has platform independent multiplayer. So we're asking here! :-) #linuxgaming"
1,"Who have milk of the puppy & a signed version of game of thrones lcg by @eric_lang ?"
1,"Atom was released open source two years ago. Last year we had stats. New stats for this year http://blog.atom.io/2016/05/06/two-years-open-source.html …"
1,"I've started to submit #voidlinux patches to the upstream projects. Today a fix for #btfs with #musl"
